Source Current = 1e-05A, Gate Voltage = -0.2V, Measurement Time = 2000s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
0,0.0392079,-2.94697e-05,-0.2
1,0.0382853,-6.34313e-06,-0.2
2,0.0381732,-4.08888e-06,-0.2
3,0.0380707,-3.06249e-06,-0.2
4,0.0379992,-2.42591e-06,-0.2
5,0.037961,-2.07782e-06,-0.2
6,0.0379062,-1.71542e-06,-0.2
7,0.0379062,-1.42217e-06,-0.2
8,0.0378847,-1.30653e-06,-0.2
9,0.0378513,-1.10388e-06,-0.2
10,0.0378418,-1.03354e-06,-0.2
11,0.0378156,-9.88245e-07,-0.2
12,0.0377679,-9.01222e-07,-0.2
13,0.037756,-8.58307e-07,-0.2
14,0.037775,-8.40425e-07,-0.2
15,0.0377345,-7.54595e-07,-0.2
16,0.0377297,-7.14064e-07,-0.2
17,0.0377297,-7.22408e-07,-0.2
18,0.0377107,-6.93798e-07,-0.2
19,0.0377059,-6.54459e-07,-0.2
20,0.037725,-6.35386e-07,-0.2
21,0.0377107,-6.03199e-07,-0.2
22,0.0377035,-6.17504e-07,-0.2
23,0.0376868,-6.24657e-07,-0.2
24,0.037694,-6.8903e-07,-0.2
25,0.0376606,-6.31809e-07,-0.2
26,0.0376558,-6.23465e-07,-0.2
27,0.0376701,-6.30617e-07,-0.2
28,0.0376511,-5.8651e-07,-0.2
29,0.0376391,-5.55515e-07,-0.2
30,0.0376153,-5.31673e-07,-0.2
31,0.0376129,-5.50747e-07,-0.2
32,0.037632,-4.58956e-07,-0.2
33,0.0376296,-4.88758e-07,-0.2
34,0.0376153,-5.40018e-07,-0.2
35,0.0375962,-4.73261e-07,-0.2
36,0.0375986,-5.09024e-07,-0.2
37,0.037601,-5.3525e-07,-0.2
38,0.0375772,-4.80413e-07,-0.2
39,0.0375772,-4.45843e-07,-0.2
40,0.0375605,-4.3869e-07,-0.2
41,0.0375557,-4.01735e-07,-0.2
42,0.0375724,-3.51667e-07,-0.2
43,0.0375438,-4.3273e-07,-0.2
44,0.0375414,-3.94583e-07,-0.2
45,0.0375342,-4.12464e-07,-0.2
46,0.0375223,-3.43323e-07,-0.2
47,0.0375104,-3.57628e-07,-0.2
48,0.0375032,-3.77893e-07,-0.2
49,0.0374842,-3.32594e-07,-0.2
50,0.0374889,-3.68357e-07,-0.2
51,0.037508,-3.89814e-07,-0.2
52,0.0374961,-3.29018e-07,-0.2
53,0.037477,-3.83854e-07,-0.2
54,0.037477,-3.91006e-07,-0.2
55,0.0374532,-3.48091e-07,-0.2
56,0.0374532,-3.45707e-07,-0.2
57,0.0374413,-3.51667e-07,-0.2
58,0.0374413,-3.44515e-07,-0.2
59,0.0374436,-3.06368e-07,-0.2
60,0.0374341,-2.82526e-07,-0.2
61,0.0374436,-2.92063e-07,-0.2
62,0.0374198,-2.53916e-07,-0.2
63,0.0374246,-2.18153e-07,-0.2
64,0.0374269,-2.76566e-07,-0.2
65,0.0374269,-2.75373e-07,-0.2
66,0.0374269,-3.26633e-07,-0.2
67,0.0374174,-2.92063e-07,-0.2
68,0.0373793,-2.19345e-07,-0.2
69,0.0373864,-2.37226e-07,-0.2
70,0.0373912,-2.53916e-07,-0.2
71,0.0373983,-2.61068e-07,-0.2
72,0.0373888,-3.48091e-07,-0.2
73,0.0373816,-2.55108e-07,-0.2
74,0.0373816,-2.28882e-07,-0.2
75,0.0373602,-2.64645e-07,-0.2
76,0.0373602,-3.09944e-07,-0.2
77,0.0373697,-2.49147e-07,-0.2
78,0.0373387,-2.83718e-07,-0.2
79,0.0373507,-2.67029e-07,-0.2
80,0.0373435,-2.64645e-07,-0.2
81,0.0373459,-2.18153e-07,-0.2
82,0.0373435,-2.43187e-07,-0.2
83,0.0373435,-2.34842e-07,-0.2
84,0.0373292,-2.86102e-07,-0.2
85,0.0373411,-2.43187e-07,-0.2
86,0.0373244,-2.41995e-07,-0.2
87,0.0373125,-2.57492e-07,-0.2
88,0.037303,-2.53916e-07,-0.2
89,0.0372887,-2.40803e-07,-0.2
90,0.0373006,-2.67029e-07,-0.2
91,0.037303,-2.92063e-07,-0.2
92,0.0373101,-2.63453e-07,-0.2
93,0.0372958,-2.52724e-07,-0.2
94,0.037291,-3.29018e-07,-0.2
95,0.0373101,-3.40939e-07,-0.2
96,0.0372934,-2.95639e-07,-0.2
97,0.0373197,-2.82526e-07,-0.2
