Source Current = 1e-05A, Measurement Time = 10s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
0,0.0452352,3.21865e-07,-2.65837e-05
1,0.0451589,3.49283e-07,-2.48909e-05
2,0.0451231,3.45707e-07,-3.20435e-05
3,0.0451112,3.79086e-07,-3.50952e-05
4,0.0450969,3.48091e-07,-3.80993e-05
5,0.0451064,3.65973e-07,-3.25918e-05
6,0.0451064,3.43323e-07,-2.72036e-05
7,0.0451016,3.62396e-07,-2.76566e-05
8,0.0451064,3.8743e-07,-2.64406e-05
9,0.0450945,3.65973e-07,-2.563e-05
