Gate Voltage = 0A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0,0.0,-3.08606e-08,-2.89679e-07
0,0.01,-3.0337e-08,2.10404e-06
0,0.02,-3.04787e-08,4.1914e-06
0,0.03,-2.8943e-08,6.14524e-06
0,0.04,-3.01716e-08,8.27074e-06
0,0.05,-2.90456e-08,1.04296e-05
0,0.06,-3.09999e-08,1.26517e-05
0,0.07,-2.99102e-08,1.49155e-05
0,0.08,-2.92214e-08,1.71065e-05
0,0.09,-3.05258e-08,1.948e-05
0,0.1,-3.09996e-08,2.1714e-05
0,0.11,-3.03071e-08,2.40731e-05
0,0.12,-3.02592e-08,2.65062e-05
0,0.13,-3.18191e-08,2.89333e-05
0,0.14,-3.03738e-08,3.14248e-05
0,0.15,-3.01865e-08,3.39186e-05
0,0.16,-3.02098e-08,3.64614e-05
0,0.17,-2.95691e-08,3.89576e-05
0,0.18,-2.92688e-08,4.14872e-05
0,0.19,-3.02662e-08,4.41194e-05
0,0.2,-3.14362e-08,4.68588e-05
0,0.21,-3.23495e-08,4.95231e-05
0,0.22,-3.08738e-08,5.22387e-05
0,0.23,-3.09445e-08,5.49281e-05
0,0.24,-3.02024e-08,5.77116e-05
0,0.25,-2.97706e-08,6.04248e-05
0,0.26,-2.98012e-08,6.33383e-05
0,0.27,-2.9684e-08,6.621e-05
0,0.28,-2.97269e-08,6.89816e-05
0,0.29,-2.84127e-08,7.177e-05
0,0.3,-3.03925e-08,7.45678e-05
0,0.29,-3.06449e-08,7.16734e-05
0,0.27999999999999997,-3.03076e-08,6.88314e-05
0,0.27,-3.08047e-08,6.60229e-05
