Gate Voltage = 0.1A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,0.1,2.33831e-07,-2.82526e-07
0.01,0.1,1.02675e-07,1.74522e-06
0.02,0.1,-3.09385e-08,3.54886e-06
0.03,0.1,-3.11968e-08,5.31316e-06
0.04,0.1,-3.09244e-08,7.06673e-06
0.05,0.1,-3.01507e-08,8.90851e-06
0.06,0.1,-3.07795e-08,1.07455e-05
0.07,0.1,-3.03908e-08,1.27685e-05
0.08,0.1,-2.99176e-08,1.472e-05
0.09,0.1,-2.97973e-08,1.67012e-05
0.1,0.1,-3.03542e-08,1.88351e-05
0.11,0.1,-2.89647e-08,2.08664e-05
0.12,0.1,-3.19141e-08,2.29633e-05
0.13,0.1,-2.97341e-08,2.50721e-05
0.14,0.1,-2.9864e-08,2.73347e-05
0.15,0.1,-2.98972e-08,2.95854e-05
0.16,0.1,-3.05272e-08,3.18158e-05
0.17,0.1,-2.96511e-08,3.41213e-05
0.18,0.1,-3.10035e-08,3.64339e-05
0.19,0.1,-3.16739e-08,3.88479e-05
0.2,0.1,-3.20563e-08,4.12786e-05
0.21,0.1,-3.02807e-08,4.37343e-05
0.22,0.1,-3.12226e-08,4.61841e-05
0.23,0.1,-3.16255e-08,4.85754e-05
0.24,0.1,-3.01394e-08,5.10943e-05
0.25,0.1,-2.99976e-08,5.35631e-05
0.26,0.1,-3.16853e-08,5.61368e-05
0.27,0.1,-2.91595e-08,5.86677e-05
0.28,0.1,-3.00114e-08,6.12557e-05
0.29,0.1,-2.96844e-08,6.37341e-05
0.3,0.1,-3.16295e-08,6.634e-05
0.29,0.1,-3.03291e-08,6.36148e-05
0.27999999999999997,0.1,-3.18383e-08,6.09899e-05
0.27,0.1,-2.96945e-08,5.84304e-05
0.26,0.1,-3.03559e-08,5.5778e-05
0.25,0.1,-3.07478e-08,5.31661e-05
0.24,0.1,-3.19784e-08,5.07164e-05
0.22999999999999998,0.1,-3.18401e-08,4.81772e-05
0.21999999999999997,0.1,-3.17406e-08,4.57573e-05
0.21,0.1,-3.1809e-08,4.32706e-05
0.19999999999999998,0.1,-3.09952e-08,4.08733e-05
0.19,0.1,-2.94033e-08,3.84665e-05
0.18,0.1,-2.92124e-08,3.61025e-05
0.16999999999999998,0.1,-3.05415e-08,3.37696e-05
0.15999999999999998,0.1,-2.96401e-08,3.15201e-05
0.15,0.1,-2.95833e-08,2.92706e-05
0.13999999999999999,0.1,-3.00565e-08,2.70402e-05
0.12999999999999998,0.1,-3.07564e-08,2.48015e-05
0.12,0.1,-3.18765e-08,2.2707e-05
0.10999999999999999,0.1,-2.98558e-08,2.0659e-05
0.09999999999999998,0.1,-3.02194e-08,1.85573e-05
0.09,0.1,-2.99506e-08,1.64986e-05
0.07999999999999999,0.1,-3.11681e-08,1.45924e-05
0.06999999999999998,0.1,-2.93852e-08,1.26743e-05
0.06,0.1,-3.16598e-08,1.06728e-05
0.04999999999999999,0.1,-3.01342e-08,8.77976e-06
0.03999999999999998,0.1,-3.08472e-08,6.93321e-06
0.02999999999999997,0.1,-2.97119e-08,5.15938e-06
0.019999999999999962,0.1,-3.16702e-08,3.3915e-06
0.010000000000000009,0.1,-3.14956e-08,1.64151e-06
0.0,0.1,-3.14182e-08,-3.44515e-07
