Gate Voltage = -0.1A, Source Voltage Start = 0V, Source Voltage End = 0.3V, Source Voltage Step = 0.01V
Source Voltage [V],Gate Voltage [V],Source Current [A],Gate Current [A]
0.0,-0.1,-2.51532e-07,-3.19945e-08
0.01,-0.1,-3.24249e-07,-3.38695e-08
0.02,-0.1,-2.26498e-07,-3.34185e-08
0.03,-0.1,-3.37362e-07,-3.23948e-08
0.04,-0.1,-2.72989e-07,-3.25908e-08
0.05,-0.1,-3.25441e-07,-3.06231e-08
0.06,-0.1,-2.61068e-07,-3.15454e-08
0.07,-0.1,-2.22921e-07,-2.98262e-08
0.08,-0.1,-2.7895e-07,-3.10639e-08
0.09,-0.1,-2.49147e-07,-3.17928e-08
0.1,-0.1,-2.71797e-07,-2.98207e-08
0.11,-0.1,-2.03848e-07,-3.02308e-08
0.12,-0.1,-1.89543e-07,-2.9596e-08
0.13,-0.1,-2.43187e-07,-3.21495e-08
0.14,-0.1,-2.26498e-07,-3.01722e-08
0.15,-0.1,-1.83582e-07,-3.11467e-08
0.16,-0.1,-2.31266e-07,-3.03226e-08
0.17,-0.1,-1.58548e-07,-3.21266e-08
0.18,-0.1,-2.07424e-07,-3.08498e-08
0.19,-0.1,-1.90735e-07,-2.92484e-08
0.2,-0.1,-1.88351e-07,-3.08142e-08
0.21,-0.1,-2.24113e-07,-3.15452e-08
0.22,-0.1,-2.20537e-07,-3.01957e-08
0.23,-0.1,-2.03848e-07,-3.04487e-08
0.24,-0.1,-1.57356e-07,-3.10622e-08
0.25,-0.1,-2.01464e-07,-3.10012e-08
0.26,-0.1,-1.90735e-07,-3.07492e-08
0.27,-0.1,-1.80006e-07,-3.18495e-08
0.28,-0.1,-2.38419e-07,-2.93818e-08
0.29,-0.1,-1.64509e-07,-3.17286e-08
0.3,-0.1,-2.58684e-07,-3.01803e-08
0.29,-0.1,-2.47955e-07,-3.13782e-08
0.27999999999999997,-0.1,-2.58684e-07,-3.23204e-08
0.27,-0.1,-1.69277e-07,-3.24361e-08
0.26,-0.1,-2.49147e-07,-3.18057e-08
0.25,-0.1,-2.08616e-07,-3.47123e-08
0.24,-0.1,-2.65837e-07,-3.17961e-08
0.22999999999999998,-0.1,-1.8239e-07,-3.22487e-08
0.21999999999999997,-0.1,-2.50339e-07,-3.25983e-08
0.21,-0.1,-1.80006e-07,-3.16961e-08
0.19999999999999998,-0.1,-2.07424e-07,-3.23065e-08
0.19,-0.1,-1.37091e-07,-3.16355e-08
0.18,-0.1,-1.9908e-07,-3.11502e-08
0.16999999999999998,-0.1,-2.06232e-07,-3.32043e-08
0.15999999999999998,-0.1,-1.64509e-07,-3.40735e-08
0.15,-0.1,-2.71797e-07,-3.30709e-08
0.13999999999999999,-0.1,-1.66893e-07,-3.30113e-08
0.12999999999999998,-0.1,-2.58684e-07,-3.39791e-08
0.12,-0.1,-2.11e-07,-3.20243e-08
0.10999999999999999,-0.1,-2.49147e-07,-3.46462e-08
0.09999999999999998,-0.1,-1.63317e-07,-3.49297e-08
0.09,-0.1,-2.06232e-07,-3.38099e-08
0.07999999999999999,-0.1,-1.97887e-07,-3.29428e-08
0.06999999999999998,-0.1,-3.49638e-08,-3.24557e-08
0.06,-0.1,-2.82526e-07,-2.96831e-07
0.04999999999999999,-0.1,-3.38554e-07,-3.56868e-08
0.03999999999999998,-0.1,-2.72989e-07,-3.4428e-08
0.02999999999999997,-0.1,-2.63453e-07,-3.58324e-08
0.019999999999999962,-0.1,-3.29018e-07,-3.671e-08
0.010000000000000009,-0.1,-2.83718e-07,-3.62423e-08
0.0,-0.1,-2.67029e-07,-3.60984e-08
