Applied Voltage = N/AV, Current HI = 1e-05A, Current LO = 0A, Interval = 5.0s, Pulse Duration = 0.2s, Measurement Time = 50000s 
Time [s],Voltage [V],Resistance [Ohm]
11:19:46.603695,0.0504279,5041.92
11:19:51.393141,0.0504231,5040.73
11:19:56.393204,0.0504303,5043.36
11:20:01.423887,0.0504065,5041.92
11:20:06.443972,0.0504136,5043.35
11:20:11.411596,0.0504136,5041.93
11:20:16.429468,0.0504017,5036.45
11:20:22.559541,0.0503898,5038.79
11:20:27.490031,0.050416,5043.34
11:20:32.505551,0.0504041,5038.34
11:20:37.541023,0.0504065,5043.11
